id_comentario	clase_comentario
comment_id_240324	Excelente
comment_id_93623	Buena
comment_id_101984	Buena
comment_id_330808	Excelente
comment_id_317448	Excelente
comment_id_288742	Excelente
comment_id_86470	Muy buena
comment_id_357930	Excelente
comment_id_75524	Muy buena
comment_id_146628	Buena
comment_id_256706	Excelente
comment_id_58733	Muy buena
comment_id_272094	Buena
comment_id_272096	Excelente
comment_id_285242	Excelente
comment_id_109365	Malo
comment_id_141058	Malo
comment_id_58042	Muy buena
comment_id_193576	Muy buena
comment_id_104209	Buena
comment_id_38531	Muy buena
comment_id_159182	Muy buena
comment_id_85078	Muy buena
comment_id_322198	Malo
comment_id_68929	Buena
comment_id_72384	Buena
comment_id_322332	Excelente
comment_id_139974	Excelente
comment_id_108940	Excelente
comment_id_215224	Muy buena
comment_id_160670	Excelente
comment_id_230174	Malo
comment_id_145822	Malo
comment_id_269074	Muy buena
comment_id_269072	Muy buena
comment_id_315224	Excelente
comment_id_52805	Buena
comment_id_367020	Excelente
comment_id_78924	Muy buena
comment_id_351290	Excelente
comment_id_151662	Excelente
comment_id_100580	Buena
comment_id_264842	Muy buena
comment_id_134742	Muy buena
comment_id_321978	Buena
comment_id_353542	Malo
comment_id_36261	Excelente
comment_id_366360	Malo
comment_id_178546	Excelente
comment_id_203194	Buena
comment_id_84194	Muy buena
comment_id_124202	Muy buena
comment_id_91914	Buena
comment_id_211862	Muy buena
comment_id_9059	Muy buena
comment_id_91445	Excelente
comment_id_9056	Excelente
comment_id_155316	Muy buena
comment_id_101368	Excelente
comment_id_205930	Excelente
comment_id_174014	Excelente
comment_id_284822	Excelente
comment_id_84190	Muy buena
comment_id_342798	Malo
comment_id_150130	Muy buena
comment_id_252628	Buena
comment_id_14352	Muy buena
comment_id_331078	Buena
comment_id_79529	Buena
comment_id_206482	Excelente
comment_id_293906	Excelente
comment_id_92935	Excelente
comment_id_62436	Muy buena
comment_id_207576	Muy buena
comment_id_39669	Excelente
comment_id_92939	Excelente
comment_id_292644	Buena
comment_id_341042	Muy buena
comment_id_29893	Muy buena
comment_id_203448	Excelente
comment_id_77673	Malo
comment_id_366582	Malo
comment_id_247308	Buena
comment_id_47696	Malo
comment_id_134352	Muy buena
comment_id_247304	Excelente
comment_id_69322	Muy buena
comment_id_91703	Excelente
comment_id_33180	Muy buena
comment_id_33187	Excelente
comment_id_130440	Excelente
comment_id_98935	Buena
comment_id_79294	Muy buena
comment_id_305438	Buena
comment_id_93084	Malo
comment_id_46615	Muy buena
comment_id_56077	Muy buena
comment_id_212022	Malo
comment_id_323444	Muy buena
comment_id_120692	Muy buena
comment_id_175498	Muy buena
comment_id_318574	Buena
comment_id_70548	Muy buena
comment_id_173894	Muy buena
comment_id_110957	Excelente
comment_id_216858	Excelente
comment_id_106325	Muy buena
comment_id_54082	Malo
comment_id_315858	Buena
comment_id_173898	Muy buena
comment_id_260014	Excelente
comment_id_193570	Buena
comment_id_281586	Excelente
comment_id_364320	Muy buena
comment_id_61314	Buena
comment_id_33236	Excelente
comment_id_342244	Malo
comment_id_48320	Muy buena
comment_id_53019	Excelente
comment_id_113608	Excelente
comment_id_193282	Excelente
comment_id_37657	Muy buena
comment_id_175722	Excelente
comment_id_56382	Excelente
comment_id_169202	Excelente
comment_id_21409	Excelente
comment_id_21158	Muy buena
comment_id_125346	Buena
comment_id_327730	Excelente
comment_id_125348	Muy buena
comment_id_290644	Excelente
comment_id_364188	Malo
comment_id_119720	Malo
comment_id_119724	Muy buena
comment_id_112558	Excelente
comment_id_73367	Muy buena
comment_id_25097	Excelente
comment_id_117188	Buena
comment_id_25099	Excelente
comment_id_242232	Excelente
comment_id_42461	Excelente
comment_id_305668	Muy buena
comment_id_357706	Muy buena
comment_id_42466	Excelente
comment_id_202672	Malo
comment_id_10501	Excelente
comment_id_15022	Muy buena
comment_id_317326	Buena
comment_id_280186	Buena
comment_id_352558	Excelente
comment_id_280184	Muy buena
comment_id_56920	Excelente
comment_id_256882	Excelente
comment_id_283134	Malo
comment_id_267890	Muy buena
comment_id_60374	Muy buena
comment_id_20486	Muy buena
comment_id_350950	Excelente
comment_id_194738	Excelente
comment_id_40316	Excelente
comment_id_60373	Buena
comment_id_50386	Muy buena
comment_id_116276	Malo
comment_id_66926	Muy buena
comment_id_144390	Excelente
comment_id_283322	Excelente
comment_id_369762	Muy buena
comment_id_270008	Excelente
comment_id_144398	Muy buena
comment_id_6143	Excelente
comment_id_113976	Malo
comment_id_13975	Excelente
comment_id_13976	Excelente
comment_id_55256	Excelente
comment_id_68145	Muy buena
comment_id_152570	Excelente
comment_id_149708	Muy buena
comment_id_321156	Excelente
comment_id_321154	Malo
comment_id_217810	Buena
comment_id_223550	Buena
comment_id_68004	Excelente
comment_id_50564	Muy buena
comment_id_50562	Malo
comment_id_197292	Excelente
comment_id_313042	Excelente
comment_id_271202	Excelente
comment_id_316034	Excelente
comment_id_102512	Excelente
comment_id_257286	Excelente
comment_id_211646	Excelente
comment_id_102046	Buena
comment_id_157910	Buena
comment_id_58929	Muy buena
comment_id_255610	Muy buena
comment_id_58927	Muy buena
comment_id_333566	Excelente
comment_id_186788	Excelente
comment_id_255534	Excelente
comment_id_358018	Excelente
comment_id_234854	Muy buena
comment_id_200730	Buena
comment_id_344020	Excelente
comment_id_255532	Malo
comment_id_358010	Excelente
comment_id_163342	Buena
comment_id_36638	Excelente
comment_id_6559	Excelente
